,Gamma,Error,Time,Iterations
280,0.72,13,0.0,5
281,0.719,13,0.0,5
282,0.718,13,0.0,5
283,0.7170000000000001,13,0.0,5
284,0.716,13,0.0,5
285,0.7150000000000001,13,0.0,5
286,0.714,13,0.0,5
287,0.7130000000000001,13,0.0,5
288,0.712,13,0.0,5
289,0.7110000000000001,13,0.015621423721313477,5
290,0.71,13,0.0,5
291,0.7090000000000001,13,0.0,5
292,0.708,13,0.0,5
293,0.7070000000000001,13,0.0,5
294,0.706,13,0.0,5
295,0.7050000000000001,13,0.0,5
296,0.704,13,0.0,5
297,0.7030000000000001,14,0.0,4
298,0.702,14,0.0,4
299,0.7010000000000001,14,0.015621185302734375,4
300,0.7,14,0.0,4
301,0.6990000000000001,14,0.0,4
302,0.698,14,0.0,4
303,0.6970000000000001,14,0.0,4
304,0.696,14,0.0,4
305,0.6950000000000001,14,0.0,4
306,0.694,14,0.0,4
307,0.6930000000000001,14,0.0,4
308,0.692,14,0.0,4
309,0.6910000000000001,14,0.0,4
310,0.69,14,0.0,4
311,0.6890000000000001,14,0.0,4
312,0.688,14,0.015790462493896484,4
313,0.687,14,0.002010345458984375,4
314,0.6859999999999999,14,0.0009846687316894531,4
315,0.685,14,0.0009965896606445312,4
316,0.6839999999999999,14,0.000997304916381836,4
317,0.683,14,0.0010111331939697266,4
318,0.6819999999999999,14,0.0009834766387939453,4
319,0.681,14,0.000997304916381836,4
320,0.6799999999999999,14,0.000997304916381836,4
321,0.679,14,0.0009975433349609375,4
322,0.6779999999999999,14,0.000997304916381836,4
323,0.677,14,0.0009970664978027344,4
324,0.6759999999999999,14,0.0009975433349609375,4
325,0.675,14,0.000997304916381836,4
326,0.6739999999999999,14,0.000997304916381836,4
327,0.673,14,0.000997304916381836,4
328,0.6719999999999999,14,0.0009975433349609375,4
329,0.671,14,0.0009970664978027344,4
330,0.6699999999999999,14,0.000997304916381836,4
331,0.669,14,0.0009975433349609375,4
332,0.6679999999999999,14,0.000997304916381836,4
333,0.667,14,0.000997304916381836,4
334,0.6659999999999999,14,0.0009980201721191406,4
335,0.665,14,0.001995086669921875,4
336,0.6639999999999999,14,0.0009965896606445312,4
337,0.663,14,0.0009770393371582031,4
338,0.6619999999999999,14,0.0009975433349609375,4
339,0.661,14,0.000997304916381836,4
340,0.6599999999999999,14,0.000997304916381836,4
341,0.659,14,0.000997304916381836,4
342,0.6579999999999999,14,0.0019943714141845703,4
343,0.657,14,0.000997304916381836,4
344,0.6559999999999999,14,0.000997304916381836,4
345,0.655,14,0.0009975433349609375,4
346,0.654,14,0.0010056495666503906,4
347,0.653,14,0.0019867420196533203,4
348,0.652,14,0.0009996891021728516,4
349,0.651,14,0.0010018348693847656,4
350,0.65,14,0.0009925365447998047,4
351,0.649,14,0.0,4
352,0.648,14,0.0,4
353,0.647,14,0.001009225845336914,4
354,0.646,14,0.0009849071502685547,4
355,0.645,14,0.000997304916381836,4
356,0.644,14,0.0009975433349609375,4
357,0.643,14,0.000997304916381836,4
358,0.642,14,0.0009970664978027344,4
359,0.641,14,0.0,4
360,0.64,14,0.0,4
361,0.639,14,0.0009980201721191406,4
362,0.638,14,0.002011537551879883,4
363,0.637,14,0.000980377197265625,4
364,0.636,14,0.0009970664978027344,4
365,0.635,14,0.0010135173797607422,4
366,0.634,14,0.000997304916381836,4
367,0.633,14,0.000997304916381836,4
368,0.632,14,0.0009975433349609375,4
369,0.631,14,0.0,4
370,0.63,14,0.0,4
371,0.629,14,0.0,4
372,0.628,14,0.0,4
373,0.627,14,0.000997304916381836,4
374,0.626,14,0.000997304916381836,4
375,0.625,14,0.0009970664978027344,4
376,0.624,14,0.0019958019256591797,4
377,0.623,14,0.0009968280792236328,4
378,0.622,14,0.0009980201721191406,4
379,0.621,14,0.0019936561584472656,4
380,0.62,14,0.000997304916381836,4
381,0.619,14,0.000997304916381836,4
382,0.618,14,0.000997304916381836,4
383,0.617,14,0.000997304916381836,4
384,0.616,14,0.0009975433349609375,4
385,0.615,14,0.000997304916381836,4
386,0.614,14,0.0009970664978027344,4
387,0.613,14,0.000997304916381836,4
388,0.612,15,0.0,3
389,0.611,15,0.0009975433349609375,3
390,0.61,15,0.000997304916381836,3
391,0.609,15,0.000997304916381836,3
392,0.608,15,0.0009984970092773438,3
393,0.607,15,0.0009968280792236328,3
394,0.606,15,0.0009970664978027344,3
395,0.605,15,0.0,3
396,0.604,15,0.0,3
397,0.603,15,0.0,3
398,0.602,15,0.0009970664978027344,3
399,0.601,15,0.0009975433349609375,3
400,0.6,15,0.000997304916381836,3
401,0.599,15,0.000997304916381836,3
402,0.598,15,0.0009970664978027344,3
403,0.597,15,0.0009975433349609375,3
404,0.596,15,0.0,3
405,0.595,15,0.0,3
406,0.594,15,0.000997304916381836,3
407,0.593,15,0.0009975433349609375,3
408,0.5920000000000001,15,0.0009970664978027344,3
409,0.591,15,0.0,3
410,0.5900000000000001,15,0.0009970664978027344,3
411,0.589,15,0.000993490219116211,3
412,0.5880000000000001,15,0.0010135173797607422,3
413,0.587,15,0.0009810924530029297,3
414,0.5860000000000001,15,0.000997304916381836,3
415,0.585,15,0.0010004043579101562,3
416,0.5840000000000001,15,0.0,3
417,0.583,15,0.0,3
418,0.5820000000000001,15,0.000997304916381836,3
419,0.581,15,0.0009975433349609375,3
420,0.5800000000000001,15,0.0,3
421,0.579,15,0.0009970664978027344,3
422,0.5780000000000001,15,0.000997304916381836,3
423,0.577,15,0.0,3
424,0.5760000000000001,15,0.0,3
425,0.575,15,0.000997304916381836,3
426,0.5740000000000001,15,0.0010066032409667969,3
427,0.573,15,0.0,3
428,0.5720000000000001,15,0.0009877681732177734,3
429,0.571,15,0.0009975433349609375,3
430,0.5700000000000001,15,0.0,3
431,0.569,15,0.000997781753540039,3
432,0.5680000000000001,15,0.000997781753540039,3
433,0.567,15,0.0009970664978027344,3
434,0.5660000000000001,15,0.0009970664978027344,3
435,0.565,15,0.000997781753540039,3
436,0.5640000000000001,15,0.0010182857513427734,3
437,0.563,15,0.0009758472442626953,3
438,0.562,15,0.0009970664978027344,3
439,0.5609999999999999,15,0.0,3
440,0.56,15,0.0009975433349609375,3
441,0.5589999999999999,15,0.0009970664978027344,3
442,0.558,15,0.0,3
443,0.5569999999999999,15,0.0,3
444,0.556,15,0.000997304916381836,3
445,0.5549999999999999,15,0.0,3
446,0.554,15,0.0,3
447,0.5529999999999999,15,0.000997304916381836,3
448,0.552,15,0.0,3
449,0.5509999999999999,15,0.0,3
450,0.55,15,0.0009975433349609375,3
451,0.5489999999999999,15,0.000997781753540039,3
452,0.548,15,0.0009982585906982422,3
453,0.5469999999999999,15,0.0019948482513427734,3
454,0.546,15,0.0,3
455,0.5449999999999999,15,0.0009961128234863281,3
456,0.544,15,0.0009970664978027344,3
457,0.5429999999999999,15,0.0009975433349609375,3
458,0.542,15,0.0009970664978027344,3
459,0.5409999999999999,15,0.0,3
460,0.54,15,0.000997304916381836,3
461,0.5389999999999999,15,0.000997304916381836,3
462,0.538,15,0.0,3
463,0.5369999999999999,15,0.0,3
464,0.536,15,0.000997304916381836,3
465,0.5349999999999999,15,0.0,3
466,0.534,15,0.000997304916381836,3
467,0.5329999999999999,15,0.0009975433349609375,3
468,0.532,15,0.0,3
469,0.5309999999999999,15,0.000997304916381836,3
470,0.53,15,0.0,3
471,0.529,15,0.0,3
472,0.528,15,0.0009970664978027344,3
473,0.527,15,0.0010156631469726562,3
474,0.526,15,0.0009801387786865234,3
475,0.525,15,0.000997304916381836,3
476,0.524,15,0.0010023117065429688,3
477,0.523,15,0.0009920597076416016,3
478,0.522,15,0.0009968280792236328,3
479,0.521,15,0.0009970664978027344,3
480,0.52,15,0.0,3
481,0.519,15,0.0009975433349609375,3
482,0.518,15,0.0,3
483,0.517,15,0.0,3
484,0.516,15,0.000997304916381836,3
485,0.515,15,0.0,3
486,0.514,15,0.0009975433349609375,3
487,0.513,15,0.000997304916381836,3
488,0.512,15,0.0,3
489,0.511,15,0.0009970664978027344,3
490,0.51,15,0.0,3
491,0.509,15,0.0,3
492,0.508,15,0.0009975433349609375,3
493,0.507,15,0.0,3
494,0.506,15,0.000997304916381836,3
495,0.505,15,0.001010894775390625,3
496,0.504,15,0.0009849071502685547,3
497,0.503,15,0.0009968280792236328,3
498,0.502,15,0.0,3
499,0.501,15,0.000997304916381836,3
500,0.5,15,0.0009965896606445312,3
501,0.499,15,0.000997304916381836,3
502,0.498,15,0.0,3
503,0.497,15,0.0009970664978027344,3
504,0.496,15,0.0009975433349609375,3
505,0.495,15,0.0,3
506,0.494,15,0.000997304916381836,3
507,0.493,15,0.0,3
508,0.492,15,0.000997304916381836,3
509,0.491,15,0.0009970664978027344,3
510,0.49,15,0.0,3
511,0.489,15,0.000997781753540039,3
512,0.488,15,0.0,3
513,0.487,15,0.0009970664978027344,3
514,0.486,15,0.000997304916381836,3
515,0.485,15,0.0009982585906982422,3
516,0.484,15,0.0,3
517,0.483,15,0.0009965896606445312,3
518,0.482,15,0.0,3
519,0.481,15,0.0,3
520,0.48,15,0.0,3
521,0.479,15,0.0,3
522,0.478,15,0.0009832382202148438,3
523,0.477,15,0.0009968280792236328,3
524,0.476,15,0.0009975433349609375,3
525,0.475,15,0.0,3
526,0.474,15,0.0009968280792236328,3
527,0.473,15,0.0,3
528,0.472,15,0.0,3
529,0.471,16,0.0,2
530,0.47,16,0.0,2
531,0.469,16,0.0,2
532,0.46799999999999997,16,0.0009975433349609375,2
533,0.46699999999999997,16,0.0,2
534,0.46599999999999997,16,0.000997304916381836,2
535,0.46499999999999997,16,0.0,2
536,0.46399999999999997,16,0.0,2
537,0.46299999999999997,16,0.0,2
538,0.46199999999999997,16,0.0,2
539,0.46099999999999997,16,0.000997304916381836,2
540,0.45999999999999996,16,0.0,2
541,0.45899999999999996,16,0.000997781753540039,2
542,0.45799999999999996,16,0.0,2
543,0.45699999999999996,16,0.0009970664978027344,2
544,0.45599999999999996,16,0.0,2
545,0.45499999999999996,16,0.0,2
546,0.45399999999999996,16,0.0,2
547,0.45299999999999996,16,0.0,2
548,0.45199999999999996,16,0.0009975433349609375,2
549,0.45099999999999996,16,0.0,2
550,0.44999999999999996,16,0.0,2
551,0.44899999999999995,16,0.0009968280792236328,2
552,0.44799999999999995,16,0.0,2
553,0.44699999999999995,16,0.0,2
554,0.44599999999999995,16,0.0009999275207519531,2
