,Gamma,Error,Time,Iterations
167,0.833,11,0.0019941329956054688,29
168,0.832,11,0.0009992122650146484,29
169,0.831,11,0.0009684562683105469,29
170,0.83,11,0.000997304916381836,29
171,0.829,11,0.001965045928955078,29
172,0.828,11,0.0019969940185546875,29
173,0.827,11,0.001993894577026367,29
174,0.8260000000000001,11,0.0009963512420654297,28
175,0.825,11,0.0019941329956054688,28
176,0.8240000000000001,11,0.000997304916381836,28
177,0.823,11,0.000997304916381836,28
178,0.8220000000000001,11,0.001994609832763672,28
179,0.821,11,0.0009975433349609375,28
180,0.8200000000000001,11,0.0009970664978027344,28
181,0.819,11,0.0020127296447753906,28
182,0.8180000000000001,11,0.0019767284393310547,28
183,0.817,11,0.0009975433349609375,28
184,0.8160000000000001,11,0.000997304916381836,27
185,0.815,11,0.0019948482513427734,27
186,0.8140000000000001,12,0.000997304916381836,27
187,0.813,12,0.001994609832763672,27
188,0.812,12,0.001994609832763672,27
189,0.8109999999999999,12,0.000997781753540039,27
190,0.81,12,0.0019943714141845703,27
191,0.8089999999999999,12,0.0019948482513427734,27
192,0.808,12,0.0009970664978027344,27
193,0.8069999999999999,12,0.0009975433349609375,27
194,0.806,12,0.0009970664978027344,26
195,0.8049999999999999,12,0.000997304916381836,26
196,0.804,12,0.0019948482513427734,26
197,0.8029999999999999,12,0.000997304916381836,26
198,0.802,12,0.0019948482513427734,26
199,0.8009999999999999,12,0.000997304916381836,26
200,0.8,12,0.001994609832763672,26
201,0.7989999999999999,12,0.000997304916381836,26
202,0.798,12,0.000997304916381836,26
203,0.7969999999999999,12,0.001995086669921875,26
204,0.796,12,0.0020279884338378906,26
205,0.795,12,0.0009963512420654297,25
206,0.794,12,0.0009899139404296875,25
207,0.793,12,0.0009970664978027344,25
208,0.792,12,0.000997304916381836,25
209,0.791,12,0.0009963512420654297,25
210,0.79,12,0.000997304916381836,25
211,0.789,12,0.0009975433349609375,25
212,0.788,12,0.0009696483612060547,25
213,0.787,12,0.002022266387939453,25
214,0.786,12,0.0009970664978027344,25
215,0.785,12,0.000997781753540039,25
216,0.784,12,0.0009920597076416016,25
217,0.783,12,0.0010027885437011719,24
218,0.782,12,0.0009644031524658203,24
219,0.781,12,0.0009999275207519531,24
220,0.78,12,0.0019927024841308594,24
221,0.779,12,0.0009965896606445312,24
222,0.778,12,0.0010030269622802734,24
223,0.777,12,0.000965118408203125,24
224,0.776,12,0.0010237693786621094,24
225,0.775,12,0.0009913444519042969,24
226,0.774,12,0.000997304916381836,24
227,0.773,12,0.000997304916381836,24
228,0.772,12,0.0009975433349609375,24
229,0.771,12,0.0010230541229248047,24
230,0.77,12,0.0019953250885009766,23
231,0.769,12,0.0009965896606445312,23
232,0.768,12,0.000997781753540039,23
233,0.767,13,0.0009970664978027344,23
234,0.766,13,0.00096893310546875,23
235,0.765,13,0.0009975433349609375,23
236,0.764,13,0.0009975433349609375,23
237,0.763,13,0.0009999275207519531,23
238,0.762,13,0.0009975433349609375,23
239,0.761,13,0.0019822120666503906,23
240,0.76,13,0.000982046127319336,23
241,0.759,13,0.0009970664978027344,23
242,0.758,13,0.0009982585906982422,23
243,0.757,13,0.000997781753540039,23
244,0.756,13,0.0009968280792236328,22
245,0.755,13,0.0009984970092773438,22
246,0.754,13,0.0010249614715576172,22
247,0.753,13,0.0009975433349609375,22
248,0.752,13,0.0010020732879638672,22
249,0.751,13,0.000997304916381836,22
250,0.75,13,0.0009970664978027344,22
251,0.749,13,0.0009975433349609375,22
252,0.748,13,0.000997304916381836,22
253,0.747,13,0.0009975433349609375,22
254,0.746,13,0.0019941329956054688,22
255,0.745,13,0.0009982585906982422,22
256,0.744,13,0.0019805431365966797,22
257,0.743,13,0.0010111331939697266,22
258,0.742,13,0.0,21
259,0.741,13,0.0,21
260,0.74,13,0.0,21
261,0.739,13,0.0,21
262,0.738,13,0.0,21
263,0.737,13,0.0,21
264,0.736,13,0.0,21
265,0.735,13,0.0,21
266,0.734,13,0.0,21
267,0.733,13,0.0,21
268,0.732,13,0.0,21
269,0.731,13,0.0,21
270,0.73,13,0.01563239097595215,21
271,0.729,13,0.0,21
272,0.728,13,0.0,21
273,0.727,13,0.0,21
274,0.726,13,0.0,20
275,0.725,13,0.0,20
276,0.724,13,0.0,20
277,0.723,13,0.0,20
278,0.722,13,0.0,20
279,0.721,13,0.0,20
280,0.72,13,0.0,20
281,0.719,13,0.015621423721313477,20
282,0.718,13,0.0,20
283,0.7170000000000001,13,0.0,20
284,0.716,13,0.0,20
285,0.7150000000000001,13,0.0,20
286,0.714,13,0.0,20
287,0.7130000000000001,13,0.0,20
288,0.712,13,0.0,20
289,0.7110000000000001,13,0.0,20
290,0.71,13,0.0,20
